# Insane O (Up to date)
# 4218 data points written for 39 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (28.2 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-6.2222,0,6.2222,9.8005,90,0,0,0,27.666,11.271,19.562,0.053838,NaN,2.1693,NaN,0.01457,939062,98.995,0,0.49658,0,0.36812,0.0084242,0.12003,NaN,0,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.0034406
2e-3,0,0,0.9343,0,0.9343,9.8005,90,0,0,0,27.666,11.271,19.562,0.053838,NaN,2.1693,NaN,0.014563,938614,296.99,0,0.49661,0,0.36816,0.0084242,0.12003,NaN,0,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.005377
4e-3,1.8697e-6,0.00187,8.0922,0.00187,8.0922,9.8005,89.978,0,0,0,27.664,11.269,19.562,0.053835,NaN,2.1693,NaN,0.014556,938167,494.98,0,0.49665,0,0.36819,0.0084242,0.12003,NaN,1.9815e-7,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.0069318
6e-3,2.1796e-5,0.018057,15.251,0.018057,15.251,9.8005,89.788,0,0,0,27.661,11.267,19.561,0.053832,NaN,2.1693,NaN,0.014549,937726,692.97,1.7793e-8,0.49668,6.3384e-8,0.36823,0.0084242,0.12003,NaN,1.9134e-6,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.0082135
8e-3,8.8414e-5,0.048562,22.411,0.048562,22.411,9.8005,89.429,0,0,0,27.659,11.265,19.561,0.05383,NaN,2.1693,NaN,0.014543,937318,890.96,3.4503e-7,0.49671,1.2302e-6,0.36826,0.0084242,0.12003,NaN,5.1459e-6,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.0098011
0.01,2.3036e-4,0.093389,29.573,0.093389,29.573,9.8005,88.901,0,0,0,27.657,11.262,19.56,0.053827,NaN,2.1692,NaN,0.014538,936996,1088.9,2.4418e-6,0.49674,8.7118e-6,0.36829,0.0084242,0.12003,NaN,9.896e-6,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.010972
0.012,4.7629e-4,0.15254,36.735,0.15254,36.735,9.8005,88.205,0,0,0,27.655,11.26,19.559,0.053825,NaN,2.1692,NaN,0.014535,936836,1286.9,1.0569e-5,0.49675,3.772e-5,0.3683,0.0084242,0.12003,NaN,1.6164e-5,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.012849
0.014,8.5485e-4,0.22601,43.898,0.22601,43.898,9.8005,87.34,0,0,0,27.653,11.258,19.559,0.053822,NaN,2.1692,NaN,0.014537,936938,1484.9,3.4083e-5,0.49674,1.2162e-4,0.36829,0.0084242,0.12003,NaN,2.395e-5,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.014634
0.016,0.0013947,0.31382,51.063,0.31382,51.063,9.8005,86.307,0,0,0,27.651,11.256,19.558,0.05382,NaN,2.1691,NaN,0.014545,937428,1682.9,9.0276e-5,0.4967,3.2179e-4,0.36825,0.0084242,0.12003,NaN,3.3254e-5,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.016548
0.018,0.0021244,0.41595,58.228,0.41595,58.228,9.8005,85.107,0,0,0,27.649,11.254,19.557,0.053817,NaN,2.1691,NaN,0.014561,938452,1880.9,2.0759e-4,0.49662,7.3835e-4,0.36817,0.0084242,0.12003,NaN,4.4076e-5,0.16764,0.022072,90,0,NaN,279.18,85832,334.95,2e-3,0.018189
