# oldCase_N2501 (Up to date)
# 3813 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.4 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.3562,0,8.3562,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,30457,8703.5,30.452,0.070951,NaN,213.74,NaN,0.012898,871196,43.988,0,0.51316,0,0.38893,0.0042114,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0049714
2e-3,0,0,-5.4677,0,5.4677,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,30457,8703.5,30.452,0.070951,NaN,213.74,NaN,0.012918,872537,131.97,0,0.51304,0,0.38881,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0062884
4e-3,0,0,-2.5789,0,2.5789,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,30456,8702.5,30.452,0.07095,NaN,213.73,NaN,0.012938,873879,219.94,0,0.51292,0,0.38869,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0072761
6e-3,0,0,0.31011,0,0.31011,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,30455,8701.6,30.451,0.070949,NaN,213.73,NaN,0.012957,875220,307.92,0,0.5128,0,0.38857,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0084689
8e-3,6.2066e-7,6.2077e-4,3.1993,6.2077e-4,3.1993,0,0,0,0,0,0,43.4,-120.4,9.8005,89.992,0,0,0,30454,8700.6,30.451,0.070947,NaN,213.73,NaN,0.012977,876561,395.9,0,0.51268,0,0.38845,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.578e-8,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0095215
0.01,8.2613e-6,0.00702,6.0886,0.00702,6.0886,0,0,0,0,0,0,43.4,-120.4,9.8005,89.908,0,0,0,30453,8699.6,30.45,0.070946,NaN,213.73,NaN,0.012997,877904,483.87,0,0.51256,5.3982e-9,0.38833,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4388e-7,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.010991
0.012,3.4479e-5,0.019198,8.9782,0.019198,8.9782,0,0,0,0,0,0,43.4,-120.4,9.8005,89.748,0,0,0,30452,8698.6,30.449,0.070945,NaN,213.72,NaN,0.013017,879253,571.85,2.465e-8,0.51244,1.097e-7,0.38821,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0343e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.012003
0.014,9.0833e-5,0.037155,11.868,0.037155,11.868,0,0,0,0,0,0,43.4,-120.4,9.8005,89.512,0,0,0,30451,8697.6,30.449,0.070944,NaN,213.72,NaN,0.013037,880617,659.83,1.7795e-7,0.51232,7.8945e-7,0.38809,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9372e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.013014
0.016,1.8888e-4,0.060892,14.758,0.060892,14.758,0,0,0,0,0,0,43.4,-120.4,9.8005,89.202,0,0,0,30450,8696.7,30.448,0.070943,NaN,213.72,NaN,0.013058,882012,747.8,7.7939e-7,0.5122,3.4468e-6,0.38796,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4525e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.014834
0.018,3.4018e-4,0.090409,17.648,0.090409,17.648,0,0,0,0,0,0,43.4,-120.4,9.8005,88.818,0,0,0,30449,8695.7,30.448,0.070942,NaN,213.72,NaN,0.013079,883456,835.78,2.5363e-6,0.51207,1.118e-5,0.38784,0.0042115,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5803e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.015882
