# Insane O (Up to date)
# 4282 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (33.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-6.8881,0,6.8881,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33990,11271,30.732,0.075193,NaN,215.45,NaN,0.015309,1034058,98.995,0,0.5001,0,0.37586,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0034307
2e-3,0,0,-1.0631,0,1.0631,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33990,11271,30.732,0.075193,NaN,215.45,NaN,0.015312,1034277,296.99,0,0.50009,0,0.37584,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0043803
4e-3,0,0,4.7627,0,4.7627,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33988,11269,30.731,0.07519,NaN,215.44,NaN,0.015316,1034496,494.98,0,0.50007,0,0.37583,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0052938
6e-3,9.5266e-6,0.0095269,10.589,0.0095269,10.589,0,0,0,0,0,0,43.4,-120.4,9.8005,89.894,0,0,0,33986,11267,30.73,0.075188,NaN,215.44,NaN,0.015319,1034717,692.97,0,0.50005,8.0384e-9,0.37581,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0095e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.006176
8e-3,4.976e-5,0.030707,16.416,0.030707,16.416,0,0,0,0,0,0,43.4,-120.4,9.8005,89.657,0,0,0,33984,11265,30.729,0.075185,NaN,215.44,NaN,0.015322,1034953,890.96,8.3545e-8,0.50004,2.6834e-7,0.37579,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2539e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0075513
0.01,1.4401e-4,0.063543,22.244,0.063543,22.244,0,0,0,0,0,0,43.4,-120.4,9.8005,89.291,0,0,0,33982,11262,30.728,0.075183,NaN,215.43,NaN,0.015326,1035234,1088.9,7.373e-7,0.50002,2.3669e-6,0.37577,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7334e-6,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.0084351
0.012,3.1559e-4,0.10804,28.073,0.10804,28.073,0,0,0,0,0,0,43.4,-120.4,9.8005,88.795,0,0,0,33980,11260,30.727,0.07518,NaN,215.43,NaN,0.015332,1035603,1286.9,3.604e-6,0.49999,1.1561e-5,0.37575,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1448e-5,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.009296
0.014,5.8781e-4,0.16419,33.903,0.16419,33.903,0,0,0,0,0,0,43.4,-120.4,9.8005,88.169,0,0,0,33978,11258,30.726,0.075178,NaN,215.43,NaN,0.01534,1036122,1484.9,1.2564e-5,0.49995,4.0264e-5,0.37571,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7398e-5,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.011592
0.016,9.8399e-4,0.232,39.733,0.232,39.733,0,0,0,0,0,0,43.4,-120.4,9.8005,87.414,0,0,0,33975,11256,30.725,0.075175,NaN,215.42,NaN,0.015351,1036868,1682.9,3.5155e-5,0.4999,1.125e-4,0.37566,0.0042124,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4583e-5,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.012696
0.018,0.0015274,0.31147,45.564,0.31147,45.564,0,0,0,0,0,0,43.4,-120.4,9.8005,86.531,0,0,0,33973,11254,30.724,0.075172,NaN,215.42,NaN,0.015366,1037934,1880.9,8.4246e-5,0.49982,2.6904e-4,0.37558,0.0042125,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3005e-5,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.013742
0.02,0.0022415,0.4026,51.395,0.4026,51.395,0,0,0,0,0,0,43.4,-120.4,9.8005,85.52,0,0,0,33971,11252,30.723,0.07517,NaN,215.42,NaN,0.015389,1039426,2078.9,1.7991e-4,0.49972,5.7289e-4,0.37547,0.0042125,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2662e-5,16.764,220.72,90,0,NaN,6.03,858.32,334.95,2e-3,0.014835
