# Insane O (Up to date)
# 4189 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.8 m/s)
#
# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s?),Total velocity (m/s),Total acceleration (m/s?),Position East of launch (km),Position North of launch (km),Lateral distance (km),Lateral direction (?),Lateral velocity (m/s),Lateral acceleration (m/s?),Latitude (?),Longitude (?),Gravitational acceleration (m/s?),Angle of attack (?),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg?m?),Rotational moment of inertia (kg?m?),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s?),Reference length (in),Reference area (m?),Vertical orientation (zenith) (?),Lateral orientation (azimuth) (?),Wind velocity (m/s),Air temperature (?C),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-6.8545,0,6.8545,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33.604,11.271,31.898,0.063769,NaN,84.592,NaN,0.013749,928651,98.995,0,0.51355,0,0.3851,0.0084236,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.0039094
2e-3,0,0,-0.96259,0,0.96259,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33.604,11.271,31.898,0.063769,NaN,84.592,NaN,0.013742,928237,296.99,0,0.51358,0,0.38513,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.006407
4e-3,0,0,4.9303,0,4.9303,0,0,0,0,0,0,43.4,-120.4,9.8005,90,0,0,0,33.601,11.269,31.897,0.063767,NaN,84.59,NaN,0.013736,927822,494.98,0,0.51362,0,0.38517,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.0098882
6e-3,9.8618e-9,0.0098621,10.824,0.0098621,10.824,0,0,0,0,0,0,43.4,-120.4,9.8005,89.877,0,0,0,33.599,11.267,31.896,0.063764,NaN,84.589,NaN,0.01373,927410,692.97,0,0.51365,1.2719e-8,0.3852,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.045e-6,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.011317
8e-3,5.1236e-8,0.031512,16.718,0.031512,16.718,0,0,0,0,0,0,43.4,-120.4,9.8005,89.607,0,0,0,33.597,11.265,31.895,0.063762,NaN,84.587,NaN,0.013724,927015,890.96,1.035e-7,0.51368,4.1435e-7,0.38523,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3392e-6,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.012811
0.01,1.477e-7,0.064951,22.613,0.064951,22.613,0,0,0,0,0,0,43.4,-120.4,9.8005,89.19,0,0,0,33.595,11.262,31.894,0.063759,NaN,84.586,NaN,0.013719,926672,1088.9,9.0284e-7,0.51371,3.6171e-6,0.38526,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8826e-6,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.014259
0.012,3.2283e-7,0.11018,28.509,0.11018,28.509,0,0,0,0,0,0,43.4,-120.4,9.8005,88.626,0,0,0,33.593,11.26,31.893,0.063756,NaN,84.584,NaN,0.013716,926431,1286.9,4.3836e-6,0.51373,1.7572e-5,0.38528,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1675e-5,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.015689
0.014,6.0022e-7,0.1672,34.406,0.1672,34.406,0,0,0,0,0,0,43.4,-120.4,9.8005,87.914,0,0,0,33.591,11.258,31.892,0.063754,NaN,84.583,NaN,0.013715,926365,1484.9,1.5213e-5,0.51374,6.099e-5,0.38529,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7718e-5,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.017119
0.016,1.0034e-6,0.23602,40.303,0.23602,40.303,0,0,0,0,0,0,43.4,-120.4,9.8005,87.056,0,0,0,33.589,11.256,31.891,0.063751,NaN,84.581,NaN,0.013718,926560,1682.9,4.242e-5,0.51372,1.6999e-4,0.38527,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.501e-5,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.018539
0.018,1.5561e-6,0.31663,46.201,0.31663,46.201,0,0,0,0,0,0,43.4,-120.4,9.8005,86.051,0,0,0,33.587,11.254,31.89,0.063749,NaN,84.58,NaN,0.013726,927123,1880.9,1.0137e-4,0.51367,4.0572e-4,0.38523,0.0084235,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3552e-5,6.6,0.022072,90,0,NaN,6.03,85832,334.95,2e-3,0.019957
