# Insane O_highSweep (Up to date)
# 4430 data points written for 24 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (26.1 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,5.8726,9.8009,25201,11271,NaN,171.27,NaN,0.015594,831331,98.995,0,0.41942,0,0.28472,0.014668,0.12003,6.03,858.32,334.95,2e-3
2e-3,0,0,0,1.9838,9.8009,25201,11271,NaN,171.27,NaN,0.015582,830691,296.99,0,0.41946,0,0.28476,0.014668,0.12003,6.03,858.32,334.95,2e-3
4e-3,3.969e-6,0.0039693,0.0039693,9.8419,9.8009,25199,11269,NaN,171.26,NaN,0.01557,830051,494.98,0,0.41951,0,0.28481,0.014668,0.12003,6.03,858.32,334.95,2e-3
6e-3,3.1594e-5,0.023656,0.023656,17.701,9.8009,25197,11267,NaN,171.26,NaN,0.015558,829420,692.97,3.1799e-8,0.41955,9.84e-8,0.28485,0.014668,0.12003,6.03,858.32,334.95,2e-3
8e-3,1.1431e-4,0.059063,0.059063,25.562,9.8009,25195,11265,NaN,171.26,NaN,0.015547,828824,890.96,4.9336e-7,0.41959,1.5289e-6,0.28489,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.01,2.8357e-4,0.11019,0.11019,33.424,9.8009,25192,11262,NaN,171.26,NaN,0.015538,828317,1088.9,3.1879e-6,0.41963,9.891e-6,0.28493,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.012,5.708e-4,0.17705,0.17705,41.288,9.8009,25190,11260,NaN,171.26,NaN,0.015531,827971,1286.9,1.3132e-5,0.41965,4.0779e-5,0.28495,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.014,0.0010075,0.25963,0.25963,49.152,9.8009,25188,11258,NaN,171.26,NaN,0.01553,827883,1484.9,4.105e-5,0.41966,1.275e-4,0.28496,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.016,0.001625,0.35794,0.35794,57.018,9.8009,25186,11256,NaN,171.25,NaN,0.015535,828173,1682.9,1.0641e-4,0.41964,3.3028e-4,0.28494,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.018,0.002455,0.47199,0.47199,64.886,9.8009,25184,11254,NaN,171.25,NaN,0.01555,828982,1880.9,2.4085e-4,0.41958,7.4609e-4,0.28488,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.02,0.0035287,0.60177,0.60177,72.755,9.8009,25182,11252,NaN,171.25,NaN,0.015578,830473,2078.9,4.9172e-4,0.41948,0.0015177,0.28478,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.022,0.0048778,0.74729,0.74729,80.625,9.8009,25180,11250,NaN,171.25,NaN,0.015622,832828,2276.9,9.2552e-4,0.41931,0.0028406,0.28461,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.024,0.0065336,0.90855,0.90855,88.496,9.8009,25178,11248,NaN,171.25,NaN,0.015687,836248,2474.9,0.001631,0.41908,0.0049648,0.28438,0.014668,0.12003,6.03,858.32,334.95,2e-3
0.026,0.0085277,1.0856,1.0856,96.369,9.8009,25176,11245,NaN,171.25,NaN,0.015775,840951,2672.9,0.0027214,0.41876,0.0081918,0.28406,0.014668,0.12003,6.0299,858.32,334.95,2e-3
0.028,0.010892,1.2783,1.2783,104.24,9.8009,25173,11243,NaN,171.24,NaN,0.015891,847164,2870.9,0.0043362,0.41834,0.012862,0.28363,0.014668,0.12003,6.0299,858.32,334.95,2e-3
0.03,0.013657,1.4868,1.4868,112.12,9.8009,25171,11241,NaN,171.24,NaN,0.016041,855125,3068.9,0.0066409,0.4178,0.019333,0.2831,0.014668,0.12003,6.0299,858.32,334.95,2e-3
0.032,0.016855,1.7111,1.7111,119.99,9.8009,25169,11239,NaN,171.24,NaN,0.016227,865073,3266.8,0.0098265,0.41714,0.027953,0.28244,0.014668,0.12003,6.0299,858.32,334.95,2e-3
# Event LIFTOFF occurred at t=0.034 seconds
0.034,0.020517,1.9511,1.9511,127.87,9.8009,25167,11237,NaN,171.24,NaN,0.016456,877248,3464.8,0.014107,0.41635,0.039022,0.28165,0.014668,0.12004,6.0299,858.32,334.95,2e-3
0.036,0.024675,2.2068,2.2068,135.75,9.8009,25165,11235,NaN,171.24,NaN,0.01673,891881,3662.8,0.019715,0.41542,0.052761,0.28071,0.014668,0.12004,6.0298,858.32,334.95,2e-3
0.038,0.02936,2.4784,2.4784,143.63,9.8009,25163,11233,NaN,171.24,NaN,0.017055,909190,3860.8,0.026899,0.41434,0.069273,0.27963,0.014668,0.12004,6.0298,858.32,334.95,2e-3
0.04,0.034604,2.7656,2.7656,149.14,9.8009,25161,11231,NaN,171.23,NaN,0.017434,929375,3999.2,0.035917,0.41312,0.08852,0.27841,0.014668,0.12004,6.0298,858.32,334.95,2e-3
0.042,0.040433,3.064,3.064,152.3,9.8009,25157,11227,NaN,171.23,NaN,0.017862,952231,4078,0.046842,0.41177,0.10997,0.27706,0.014668,0.12004,6.0297,858.32,334.95,2e-3
0.044,0.046866,3.3686,3.3686,155.46,9.8009,25153,11223,NaN,171.23,NaN,0.018335,977412,4156.8,0.059644,0.41034,0.1329,0.27562,0.014669,0.12004,6.0297,858.32,334.95,2e-3
