# Insane O (Up to date)
# 4204 data points written for 24 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (26.2 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,5.8876,9.8009,25297,11271,NaN,171.49,NaN,0.013769,702686,98.995,0,0.45169,0,0.29176,0.039903,0.12002,6.03,858.32,334.95,2e-3
2e-3,0,0,0,1.9389,9.8009,25297,11271,NaN,171.49,NaN,0.01379,703753,296.99,0,0.4516,0,0.29167,0.039903,0.12002,6.03,858.32,334.95,2e-3
4e-3,3.8792e-6,0.0038795,0.0038795,9.7671,9.8009,25295,11269,NaN,171.49,NaN,0.013811,704820,494.98,0,0.45151,0,0.29158,0.039903,0.12002,6.03,858.32,334.95,2e-3
6e-3,3.1175e-5,0.023416,0.023416,17.597,9.8009,25293,11267,NaN,171.48,NaN,0.013832,705896,692.97,3.7317e-8,0.45142,1.461e-7,0.29149,0.039903,0.12002,6.03,858.32,334.95,2e-3
8e-3,1.132e-4,0.058614,0.058614,25.427,9.8009,25291,11265,NaN,171.48,NaN,0.013854,707010,890.96,5.8163e-7,0.45132,2.27e-6,0.2914,0.039903,0.12002,6.03,858.32,334.95,2e-3
0.01,2.8129e-4,0.10947,0.10947,33.26,9.8009,25289,11262,NaN,171.48,NaN,0.013877,708217,1088.9,3.7584e-6,0.45122,1.4618e-5,0.29129,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.012,5.6676e-4,0.176,0.176,41.093,9.8009,25287,11260,NaN,171.48,NaN,0.013904,709594,1286.9,1.5457e-5,0.45111,5.9888e-5,0.29118,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.014,0.0010009,0.25819,0.25819,48.928,9.8009,25285,11258,NaN,171.48,NaN,0.013937,711242,1484.9,4.8198e-5,0.45097,1.8588e-4,0.29104,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.016,0.0016152,0.35606,0.35606,56.764,9.8009,25282,11256,NaN,171.48,NaN,0.013977,713286,1682.9,1.2457e-4,0.4508,4.7765e-4,0.29087,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.018,0.0024408,0.46959,0.46959,64.601,9.8009,25280,11254,NaN,171.47,NaN,0.014027,715872,1880.9,2.8099e-4,0.45058,0.0010697,0.29065,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.02,0.0035092,0.5988,0.5988,72.44,9.8009,25278,11252,NaN,171.47,NaN,0.014092,719164,2078.9,5.7154e-4,0.45031,0.0021558,0.29038,0.039903,0.12003,6.03,858.32,334.95,2e-3
0.022,0.0048517,0.7437,0.7437,80.28,9.8009,25276,11250,NaN,171.47,NaN,0.014174,723350,2276.9,0.0010715,0.44996,0.003995,0.29003,0.039904,0.12003,6.03,858.32,334.95,2e-3
0.024,0.0064997,0.90427,0.90427,88.121,9.8009,25274,11248,NaN,171.47,NaN,0.014277,728632,2474.9,0.0018803,0.44953,0.0069094,0.2896,0.039904,0.12003,6.03,858.32,334.95,2e-3
0.026,0.0084845,1.0805,1.0805,95.964,9.8009,25272,11245,NaN,171.47,NaN,0.014407,735223,2672.9,0.0031237,0.449,0.011273,0.28907,0.039904,0.12003,6.0299,858.32,334.95,2e-3
