# Insane O (Up to date)
# 3191 data points written for 24 variables.
# Simulation warnings:
#   Tube fin support is experimental
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (26.4 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,5.9368,9.8009,25620,11271,NaN,172.49,NaN,0.013798,704187,98.995,0,0.68024,0,0.24588,0.31433,0.12002,6.03,858.32,334.95,2e-3
2e-3,0,0,0,1.7912,9.8009,25620,11271,NaN,172.49,NaN,0.013757,702061,296.99,0,0.68039,0,0.24603,0.31433,0.12002,6.03,858.32,334.95,2e-3
4e-3,3.5837e-6,0.003584,0.003584,9.5208,9.8009,25618,11269,NaN,172.49,NaN,0.013715,699935,494.98,0,0.68054,0,0.24618,0.31433,0.12002,6.03,858.32,334.95,2e-3
6e-3,2.9795e-5,0.022628,0.022628,17.252,9.8009,25616,11267,NaN,172.49,NaN,0.013674,697817,692.97,5.1369e-8,0.6807,2.058e-7,0.24634,0.31433,0.12002,6.03,858.32,334.95,2e-3
8e-3,1.0956e-4,0.057136,0.057136,24.984,9.8009,25613,11265,NaN,172.49,NaN,0.013633,695736,890.96,8.2592e-7,0.68085,3.3287e-6,0.24649,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.01,2.738e-4,0.10711,0.10711,32.717,9.8009,25611,11262,NaN,172.49,NaN,0.013594,693748,1088.9,5.4233e-6,0.68099,2.1983e-5,0.24663,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.012,5.5346e-4,0.17255,0.17255,40.452,9.8009,25609,11260,NaN,172.49,NaN,0.013558,691929,1286.9,2.2552e-5,0.68112,9.1894e-5,0.24677,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.014,9.7946e-4,0.25346,0.25346,48.188,9.8009,25607,11258,NaN,172.48,NaN,0.013528,690384,1484.9,7.0935e-5,0.68124,2.9034e-4,0.24688,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.016,0.0015828,0.34984,0.34984,55.926,9.8009,25605,11256,NaN,172.48,NaN,0.013506,689241,1682.9,1.8469e-4,0.68132,7.5846e-4,0.24697,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.018,0.0023943,0.4617,0.4617,63.664,9.8009,25603,11254,NaN,172.48,NaN,0.013494,688653,1880.9,4.1933e-4,0.68137,0.001725,0.24701,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.02,0.0034451,0.58904,0.58904,71.404,9.8009,25601,11252,NaN,172.48,NaN,0.013497,688796,2078.9,8.5796e-4,0.68135,0.0035279,0.247,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.022,0.004766,0.73186,0.73186,79.145,9.8009,25599,11250,NaN,172.48,NaN,0.013518,689870,2276.9,0.0016171,0.68128,0.0066288,0.24692,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.024,0.006388,0.89016,0.89016,86.888,9.8009,25596,11248,NaN,172.48,NaN,0.013561,692091,2474.9,0.0028518,0.68111,0.011615,0.24676,0.31433,0.12002,6.03,858.32,334.95,2e-3
0.026,0.0083421,1.064,1.064,94.631,9.8009,25594,11245,NaN,172.48,NaN,0.013632,695695,2672.9,0.004759,0.68085,0.019182,0.24649,0.31433,0.12002,6.0299,858.32,334.95,2e-3
0.028,0.010659,1.2532,1.2532,102.38,9.8009,25592,11243,NaN,172.47,NaN,0.013735,700928,2870.9,0.0075792,0.68047,0.030096,0.24611,0.31433,0.12002,6.0299,858.32,334.95,2e-3
0.03,0.013371,1.458,1.458,110.12,9.8009,25590,11241,NaN,172.47,NaN,0.013874,708043,3068.9,0.011596,0.67996,0.045125,0.2456,0.31433,0.12003,6.0299,858.32,334.95,2e-3
0.032,0.016507,1.6783,1.6783,117.87,9.8009,25588,11239,NaN,172.47,NaN,0.014055,717291,3266.8,0.017133,0.67931,0.064963,0.24495,0.31433,0.12003,6.0299,858.32,334.95,2e-3
# Event LIFTOFF occurred at t=0.034 seconds
0.034,0.020099,1.914,1.914,125.62,9.8009,25586,11237,NaN,172.47,NaN,0.014283,728917,3464.8,0.024547,0.6785,0.090131,0.24414,0.31434,0.12003,6.0299,858.32,334.95,2e-3
0.036,0.024178,2.1653,2.1653,133.37,9.8009,25584,11235,NaN,172.47,NaN,0.014562,743153,3662.8,0.034223,0.67754,0.12089,0.24318,0.31434,0.12003,6.0298,858.32,334.95,2e-3
0.038,0.028776,2.432,2.432,141.12,9.8009,25582,11233,NaN,172.47,NaN,0.014896,760208,3860.8,0.046563,0.67642,0.15718,0.24205,0.31434,0.12003,6.0298,858.32,334.95,2e-3
