# Insane O (Up to date)
# 4327 data points written for 21 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (26.1 m/s)
#
Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,5.8726,9.8009,25201,11271,0.014455,737677,98.995,0,0.43572,0,0.29172,0.023975,0.12003,6.03,858.32,334.95,2e-3
2e-3,0,0,0,1.9838,9.8009,25201,11271,0.014417,735764,296.99,0,0.43588,0,0.29188,0.023975,0.12003,6.03,858.32,334.95,2e-3
4e-3,3.969e-6,0.0039693,0.0039693,9.8419,9.8009,25199,11269,0.01438,733852,494.98,0,0.43603,0,0.29203,0.023975,0.12003,6.03,858.32,334.95,2e-3
6e-3,3.1594e-5,0.023656,0.023656,17.701,9.8009,25197,11267,0.014342,731947,692.97,3.5855e-8,0.43619,1.3056e-7,0.29219,0.023975,0.12003,6.03,858.32,334.95,2e-3
8e-3,1.1431e-4,0.059063,0.059063,25.562,9.8009,25195,11265,0.014306,730081,890.96,5.5726e-7,0.43634,2.0396e-6,0.29234,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.01,2.8357e-4,0.11019,0.11019,33.424,9.8009,25192,11262,0.014271,728306,1088.9,3.6065e-6,0.43649,1.3264e-5,0.29249,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.012,5.708e-4,0.17705,0.17705,41.288,9.8009,25190,11260,0.01424,726701,1286.9,1.4877e-5,0.43662,5.4957e-5,0.29262,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.014,0.0010075,0.25963,0.25963,49.152,9.8009,25188,11258,0.014213,725366,1484.9,4.6556e-5,0.43673,1.7262e-4,0.29273,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.016,0.001625,0.35794,0.35794,57.018,9.8009,25186,11256,0.014195,724430,1682.9,1.208e-4,0.43681,4.4904e-4,0.29281,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.018,0.002455,0.47199,0.47199,64.886,9.8009,25184,11254,0.014188,724041,1880.9,2.7358e-4,0.43684,0.0010181,0.29284,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.02,0.0035287,0.60177,0.60177,72.755,9.8009,25182,11252,0.014194,724374,2078.9,5.5872e-4,0.43681,0.0020773,0.29281,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.022,0.0048778,0.74729,0.74729,80.625,9.8009,25180,11250,0.014219,725624,2276.9,0.0010516,0.43671,0.0038965,0.29271,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.024,0.0065336,0.90855,0.90855,88.496,9.8009,25178,11248,0.014265,728004,2474.9,0.0018526,0.43651,0.0068192,0.29251,0.023975,0.12003,6.03,858.32,334.95,2e-3
0.026,0.0085277,1.0856,1.0856,96.369,9.8009,25176,11245,0.014339,731747,2672.9,0.0030889,0.43621,0.011254,0.2922,0.023975,0.12003,6.0299,858.32,334.95,2e-3
0.028,0.010892,1.2783,1.2783,104.24,9.8009,25173,11243,0.014443,737094,2870.9,0.0049161,0.43577,0.017652,0.29177,0.023975,0.12003,6.0299,858.32,334.95,2e-3
0.03,0.013657,1.4868,1.4868,112.12,9.8009,25171,11241,0.014584,744294,3068.9,0.0075172,0.43519,0.026473,0.29119,0.023975,0.12003,6.0299,858.32,334.95,2e-3
0.032,0.016855,1.7111,1.7111,119.99,9.8009,25169,11239,0.014767,753600,3266.8,0.011101,0.43445,0.038134,0.29045,0.023975,0.12003,6.0299,858.32,334.95,2e-3
# Event LIFTOFF occurred at t=0.034 seconds
0.034,0.020517,1.9511,1.9511,127.87,9.8009,25167,11237,0.014995,765254,3464.8,0.015898,0.43355,0.052961,0.28954,0.023975,0.12003,6.0299,858.32,334.95,2e-3
0.036,0.024675,2.2068,2.2068,135.75,9.8009,25165,11235,0.015274,779491,3662.8,0.022155,0.43246,0.071133,0.28846,0.023975,0.12003,6.0298,858.32,334.95,2e-3
0.038,0.02936,2.4784,2.4784,143.63,9.8009,25163,11233,0.015608,796523,3860.8,0.030129,0.4312,0.092642,0.28719,0.023975,0.12003,6.0298,858.32,334.95,2e-3
0.04,0.034604,2.7656,2.7656,149.14,9.8009,25161,11231,0.016,816542,3999.2,0.040081,0.42976,0.11728,0.28575,0.023975,0.12003,6.0298,858.32,334.95,2e-3
0.042,0.040433,3.064,3.064,152.3,9.8009,25157,11227,0.016446,839309,4078,0.052067,0.42818,0.14419,0.28417,0.023976,0.12004,6.0297,858.32,334.95,2e-3
0.044,0.046866,3.3686,3.3686,155.46,9.8009,25153,11223,0.016939,864445,4156.8,0.066026,0.4265,0.17237,0.28248,0.023976,0.12004,6.0297,858.32,334.95,2e-3
0.046,0.053914,3.6796,3.6796,158.62,9.8009,25148,11218,0.017477,891899,4235.6,0.082027,0.42473,0.20117,0.28071,0.023976,0.12004,6.0296,858.32,334.95,2e-3
0.048,0.061591,3.9969,3.9969,161.78,9.8009,25144,11214,0.018059,921615,4314.4,0.10012,0.42289,0.22997,0.27887,0.023976,0.12004,6.0296,858.32,334.95,2e-3
0.05,0.069908,4.3205,4.3205,164.95,9.8009,25139,11209,0.018684,953526,4393.2,0.12036,0.42101,0.25824,0.27699,0.023977,0.12005,6.0295,858.32,334.95,2e-3
