# New_Nclass (Up to date)
# 4006 data points written for 24 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (23.9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,8.2565,9.7922,24218,10387,NaN,170.49,NaN,0.0059768,361183,37.19,0,0.47418,0,0.33951,0.014665,0.12,15,1013.2,340.39,2e-3
2e-3,0,0,0,5.1852,9.7922,24218,10387,NaN,170.49,NaN,0.0059701,360779,111.57,0,0.47426,0,0.33959,0.014665,0.12,15,1013.2,340.39,2e-3
4e-3,0,0,0,2.1139,9.7922,24218,10387,NaN,170.49,NaN,0.0059635,360376,185.95,0,0.47434,0,0.33967,0.014665,0.12,15,1013.2,340.39,2e-3
6e-3,0,0,0,1.0257,9.7922,24218,10387,NaN,170.49,NaN,0.0059568,359972,261.98,0,0.47443,0,0.33976,0.014665,0.12,15,1013.2,340.39,2e-3
8e-3,2.0518e-6,0.0020519,0.0020519,4.5752,9.7922,24217,10386,NaN,170.49,NaN,0.0059501,359568,347.93,0,0.47451,0,0.33984,0.014665,0.12,15,1013.2,340.39,2e-3
0.01,1.5307e-5,0.011204,0.011204,8.1937,9.7922,24216,10384,NaN,170.49,NaN,0.0059435,359170,435.54,1.1252e-8,0.4746,2.02e-7,0.33993,0.014665,0.12,15,1013.2,340.39,2e-3
0.012,5.4104e-5,0.027594,0.027594,11.813,9.7922,24214,10383,NaN,170.49,NaN,0.0059373,358794,523.14,1.6751e-7,0.47467,3.0135e-6,0.34,0.014665,0.12,15,1013.2,340.39,2e-3
0.014,1.3292e-4,0.051223,0.051223,15.433,9.7922,24212,10381,NaN,170.49,NaN,0.005932,358472,610.74,1.0654e-6,0.47474,1.9201e-5,0.34007,0.014665,0.12,15,1013.2,340.39,2e-3
0.016,2.6623e-4,0.082092,0.082092,19.054,9.7922,24210,10379,NaN,170.49,NaN,0.0059283,358250,698.35,4.3509e-6,0.47479,7.851e-5,0.34012,0.014665,0.12,15,1013.2,340.39,2e-3
0.018,4.6853e-4,0.1202,0.1202,22.675,9.7922,24208,10377,NaN,170.49,NaN,0.0059272,358186,785.95,1.3519e-5,0.4748,2.4403e-4,0.34013,0.014665,0.12,15,1013.2,340.39,2e-3
