RUN   1 10  F BODY ALONE
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.00339  -0.01348   0.00468  -0.00074  -0.00099   0.00000
  -2.00000  -0.00167  -0.00678   0.00469  -0.00076  -0.00097   0.00000
   0.00000   0.00000   0.00000   0.00469  -0.00075  -0.00098   0.00000
   2.00000   0.00167   0.00678   0.00469  -0.00077  -0.00097   0.00000
   4.00000   0.00339   0.01348   0.00468  -0.00079  -0.00096   0.00000
   6.00000   0.00517   0.02009   0.00466  -0.00081  -0.00095   0.00000
   8.00000   0.00700   0.02660   0.00463  -0.00083  -0.00093   0.00000
  12.00000   0.01088   0.03938   0.00454  -0.00087  -0.00091   0.00000
  14.00000   0.01293   0.04565   0.00447  -0.00089  -0.00090   0.00000
   0.00000   0.00000   0.00000   0.00469  -0.00074  -0.00098   0.00000
R
RUN   2 10  F WING ALONE
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.12544   0.07891  -0.00163  -0.00028   0.00002   0.00103
  -2.00000  -0.04127   0.02598   0.00355  -0.00030   0.00000   0.00064
   0.00000   0.04113  -0.02481   0.00499  -0.00030   0.00000   0.00025
   2.00000   0.12542  -0.07562   0.00275  -0.00028   0.00002  -0.00014
   4.00000   0.21155  -0.13188  -0.00322  -0.00025   0.00006  -0.00055
   6.00000   0.29869  -0.19327  -0.01296  -0.00020   0.00012  -0.00095
   8.00000   0.38599  -0.24953  -0.02649  -0.00014   0.00020  -0.00136
  12.00000   0.54096  -0.33183  -0.06418   0.00002   0.00040  -0.00210
  14.00000   0.60294  -0.36721  -0.08758   0.00011   0.00050  -0.00240
   0.00000   0.04113  -0.02481   0.00499  -0.00030   0.00000   0.00025
R
RUN   3 10  F HT ALONE
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.02869   0.06739  -0.00044   0.00000   0.00000   0.00005
  -2.00000  -0.01410   0.03305   0.00054   0.00000   0.00000   0.00003
   0.00000   0.00000   0.00000   0.00087   0.00000   0.00000  -0.00000
   2.00000   0.01410  -0.03298   0.00054   0.00000   0.00000  -0.00003
   4.00000   0.02869  -0.06722  -0.00044   0.00000   0.00000  -0.00005
   6.00000   0.04362  -0.10254  -0.00210   0.00000   0.00001  -0.00008
   8.00000   0.05874  -0.13879  -0.00444   0.00000   0.00001  -0.00011
  12.00000   0.08825  -0.21179  -0.01111   0.00001   0.00002  -0.00016
  14.00000   0.09976  -0.24221  -0.01523   0.00001   0.00003  -0.00019
   0.00000   0.00000   0.00000   0.00087   0.00000   0.00000  -0.00000
R
RUN   4 10  F VT ALONE
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000   0.00000   0.00000   0.00000  -0.00708   0.00339  -0.00099
  -2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00088
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00076
   2.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00064
   4.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00052
   6.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00040
   8.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00028
  12.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00004
  14.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000   0.00009
   0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00000  -0.00076
R
RUN   5 10  F BODY-WING
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.17756   0.08099  -0.00024  -0.00110  -0.00106   0.00120
  -2.00000  -0.06474   0.02732   0.00759  -0.00000  -0.00000   0.00068
   0.00000   0.04594  -0.02420   0.00980  -0.00000  -0.00000   0.00016
   2.00000   0.15460  -0.07578   0.00660  -0.00000  -0.00000  -0.00035
   4.00000   0.26301  -0.13359  -0.00178  -0.00000  -0.00000  -0.00086
   6.00000   0.37120  -0.19741  -0.01525  -0.00000  -0.00000  -0.00136
   8.00000   0.47902  -0.25591  -0.03382  -0.00000  -0.00000  -0.00187
  12.00000   0.69236  -0.33977  -0.08938  -0.00000  -0.00000  -0.00289
  14.00000   0.79693  -0.37524  -0.12813  -0.00000  -0.00000  -0.00339
   0.00000   0.04594  -0.02420   0.00980  -0.00000  -0.00000   0.00016
R
RUN   6 10  F BODY-HT
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.03220   0.05390   0.00429  -0.33098  -0.00106   0.00004
  -2.00000  -0.01583   0.02669   0.00529  -0.00000  -0.00000   0.00002
   0.00000   0.00000   0.00050   0.00562  -0.00000  -0.00000  -0.00000
   2.00000   0.01611  -0.02600   0.00528  -0.00000  -0.00000  -0.00002
   4.00000   0.03225  -0.05424   0.00429  -0.00000  -0.00000  -0.00005
   6.00000   0.04842  -0.08404   0.00266  -0.00000  -0.00000  -0.00007
   8.00000   0.06462  -0.11525   0.00042  -0.00000  -0.00000  -0.00009
  12.00000   0.09701  -0.17956  -0.00606  -0.00000  -0.00000  -0.00013
  14.00000   0.11306  -0.20617  -0.01078  -0.00000  -0.00000  -0.00016
   0.00000   0.00000   0.00050   0.00562  -0.00000  -0.00000  -0.00000
R
RUN   7 10  F BODY-VT-VF
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.00345  -0.01348   0.00552  -0.00783   0.00241  -0.00099
  -2.00000  -0.00170  -0.00678   0.00553  -0.00000  -0.00000  -0.00088
   0.00000   0.00000   0.00000   0.00553  -0.00000  -0.00000  -0.00076
   2.00000   0.00170   0.00678   0.00553  -0.00000  -0.00000  -0.00064
   4.00000   0.00345   0.01348   0.00552  -0.00000  -0.00000  -0.00052
   6.00000   0.00525   0.02009   0.00550  -0.00000  -0.00000  -0.00040
   8.00000   0.00712   0.02660   0.00547  -0.00000  -0.00000  -0.00028
  12.00000   0.01106   0.03938   0.00537  -0.00000  -0.00000  -0.00004
  14.00000   0.01313   0.04565   0.00529  -0.00000  -0.00000   0.00009
   0.00000   0.00000   0.00000   0.00553  -0.00000  -0.00000  -0.00076
R
RUN   8 10  F BODY-WING-HT
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.19576   0.12387   0.00013  -0.00109  -0.00106   0.00126
  -2.00000  -0.07540   0.05271   0.00831  -0.00000  -0.00000   0.00070
   0.00000   0.04238  -0.01533   0.01068  -0.00000  -0.00000   0.00016
   2.00000   0.15792  -0.08291   0.00771  -0.00000  -0.00000  -0.00038
   4.00000   0.27294  -0.15602  -0.00033  -0.00000  -0.00000  -0.00091
   6.00000   0.38738  -0.23442  -0.01368  -0.00000  -0.00000  -0.00144
   8.00000   0.50110  -0.30679  -0.03232  -0.00000  -0.00000  -0.00198
  12.00000   0.72480  -0.41521  -0.08832  -0.00000  -0.00000  -0.00305
  14.00000   0.83359  -0.46073  -0.12733  -0.00000  -0.00000  -0.00358
   0.00000   0.04238  -0.01533   0.01068  -0.00000  -0.00000   0.00016
R
RUN   9 10  F BODY-WING-VT-VF
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.17762   0.08099   0.00060  -0.00818   0.00233   0.00021
  -2.00000  -0.06477   0.02732   0.00844  -0.00000  -0.00000  -0.00020
   0.00000   0.04594  -0.02420   0.01064  -0.00000  -0.00000  -0.00060
   2.00000   0.15463  -0.07578   0.00744  -0.00000  -0.00000  -0.00099
   4.00000   0.26307  -0.13359  -0.00094  -0.00000  -0.00000  -0.00138
   6.00000   0.37129  -0.19741  -0.01441  -0.00000  -0.00000  -0.00176
   8.00000   0.47914  -0.25591  -0.03299  -0.00000  -0.00000  -0.00215
  12.00000   0.69254  -0.33977  -0.08855  -0.00000  -0.00000  -0.00292
  14.00000   0.79713  -0.37524  -0.12731  -0.00000  -0.00000  -0.00331
   0.00000   0.04594  -0.02420   0.01064  -0.00000  -0.00000  -0.00060
R
RUN  10 10  F BODY-WING-HT-VT-VF
   0.60000  3690410.
 272.89041   9.06487  31.42000  11.17000   0.00000   1.00000
  -4.00000  -0.19582   0.12387   0.00097  -0.00818   0.00233   0.00026
  -2.00000  -0.07543   0.05271   0.00915  -0.00000  -0.00000  -0.00017
   0.00000   0.04238  -0.01533   0.01152  -0.00000  -0.00000  -0.00060
   2.00000   0.15795  -0.08291   0.00856  -0.00000  -0.00000  -0.00101
