# Insane O_highSweep (Up to date)
# 4432 data points written for 24 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (26 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Total acceleration (m/s²),Gravitational acceleration (m/s²),Mass (g),Propellant mass (g),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,5.8726,9.8009,25201,11271,NaN,171.27,NaN,0.018071,958943,98.995,0,0.41071,0,0.27652,0.014148,0.12004,6.03,858.32,334.95,2e-3
2e-3,0,0,0,1.9838,9.8009,25201,11271,NaN,171.27,NaN,0.01809,959907,296.99,0,0.41066,0,0.27647,0.014148,0.12004,6.03,858.32,334.95,2e-3
4e-3,3.969e-6,0.0039693,0.0039693,9.842,9.8009,25199,11269,NaN,171.26,NaN,0.018108,960872,494.98,0,0.4106,0,0.27641,0.014148,0.12004,6.03,858.32,334.95,2e-3
6e-3,3.1594e-5,0.023656,0.023656,17.701,9.8009,25197,11267,NaN,171.26,NaN,0.018126,961844,692.97,2.6719e-8,0.41055,6.0915e-8,0.27636,0.014148,0.12004,6.03,858.32,334.95,2e-3
8e-3,1.1431e-4,0.059063,0.059063,25.562,9.8009,25195,11265,NaN,171.26,NaN,0.018145,962846,890.96,4.1395e-7,0.41049,9.4177e-7,0.2763,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.01,2.8357e-4,0.11019,0.11019,33.424,9.8009,25192,11262,NaN,171.26,NaN,0.018165,963923,1088.9,2.6718e-6,0.41043,6.0649e-6,0.27624,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.012,5.708e-4,0.17705,0.17705,41.288,9.8009,25190,11260,NaN,171.26,NaN,0.018188,965137,1286.9,1.0997e-5,0.41036,2.49e-5,0.27617,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.014,0.0010075,0.25963,0.25963,49.152,9.8009,25188,11258,NaN,171.26,NaN,0.018215,966570,1484.9,3.4357e-5,0.41028,7.7564e-5,0.27609,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.016,0.001625,0.35794,0.35794,57.018,9.8009,25186,11256,NaN,171.25,NaN,0.018248,968321,1682.9,8.9049e-5,0.41018,2.0031e-4,0.27599,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.018,0.002455,0.47199,0.47199,64.886,9.8009,25184,11254,NaN,171.25,NaN,0.018289,970508,1880.9,2.016e-4,0.41006,4.5144e-4,0.27586,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.02,0.0035287,0.60177,0.60177,72.755,9.8009,25182,11252,NaN,171.25,NaN,0.018341,973268,2078.9,4.1184e-4,0.4099,9.1701e-4,0.27571,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.022,0.0048778,0.74729,0.74729,80.625,9.8009,25180,11250,NaN,171.25,NaN,0.018407,976753,2276.9,7.7601e-4,0.4097,0.0017156,0.27551,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.024,0.0065336,0.90855,0.90855,88.496,9.8009,25178,11248,NaN,171.25,NaN,0.01849,981132,2474.9,0.0013696,0.40946,0.003001,0.27527,0.014148,0.12004,6.03,858.32,334.95,2e-3
0.026,0.0085277,1.0856,1.0856,96.369,9.8009,25176,11245,NaN,171.25,NaN,0.018592,986585,2672.9,0.0022901,0.40916,0.0049624,0.27496,0.014148,0.12004,6.0299,858.32,334.95,2e-3
0.028,0.010892,1.2783,1.2783,104.24,9.8009,25173,11243,NaN,171.24,NaN,0.018719,993308,2870.9,0.0036583,0.40879,0.0078203,0.27459,0.014148,0.12005,6.0299,858.32,334.95,2e-3
0.03,0.013657,1.4868,1.4868,112.12,9.8009,25171,11241,NaN,171.24,NaN,0.018874,1001502,3068.9,0.0056203,0.40834,0.011819,0.27415,0.014148,0.12005,6.0299,858.32,334.95,2e-3
0.032,0.016855,1.7111,1.7111,119.99,9.8009,25169,11239,NaN,171.24,NaN,0.01906,1011377,3266.8,0.0083469,0.40781,0.017211,0.27361,0.014148,0.12005,6.0299,858.32,334.95,2e-3
# Event LIFTOFF occurred at t=0.034 seconds
0.034,0.020517,1.9511,1.9511,127.87,9.8009,25167,11237,NaN,171.24,NaN,0.019281,1023143,3464.8,0.012033,0.40718,0.024245,0.27299,0.014148,0.12005,6.0299,858.32,334.95,2e-3
0.036,0.024675,2.2068,2.2068,135.75,9.8009,25165,11235,NaN,171.24,NaN,0.019543,1037012,3662.8,0.016898,0.40646,0.033141,0.27226,0.014148,0.12005,6.0298,858.32,334.95,2e-3
0.038,0.02936,2.4784,2.4784,143.63,9.8009,25163,11233,NaN,171.24,NaN,0.019848,1053188,3860.8,0.023177,0.40563,0.044072,0.27143,0.014148,0.12005,6.0298,858.32,334.95,2e-3
0.04,0.034604,2.7656,2.7656,149.14,9.8009,25161,11231,NaN,171.23,NaN,0.0202,1071867,3999.2,0.031126,0.40469,0.057142,0.27049,0.014148,0.12005,6.0298,858.32,334.95,2e-3
0.042,0.040433,3.064,3.064,152.3,9.8009,25157,11227,NaN,171.23,NaN,0.020596,1092901,4078,0.040843,0.40366,0.072123,0.26946,0.014149,0.12006,6.0297,858.32,334.95,2e-3
0.044,0.046866,3.3686,3.3686,155.46,9.8009,25153,11223,NaN,171.23,NaN,0.021032,1116021,4156.8,0.052335,0.40256,0.088625,0.26835,0.014149,0.12006,6.0297,858.32,334.95,2e-3
0.046,0.053914,3.6796,3.6796,158.62,9.8009,25148,11218,NaN,171.23,NaN,0.021507,1141228,4235.6,0.065714,0.40139,0.10642,0.26718,0.014149,0.12006,6.0296,858.32,334.95,2e-3
0.048,0.061591,3.9969,3.9969,161.79,9.8009,25144,11214,NaN,171.22,NaN,0.022021,1168512,4314.4,0.081085,0.40016,0.12525,0.26595,0.014149,0.12006,6.0296,858.32,334.95,2e-3
